page_no,review_no,artist,album,genre,author,publish_date,bnm,cover_art,url
6,6,G Herbo,PTSD,Rap,Alphonse Pierre,March 5 2020,No,https://media.pitchfork.com/photos/5e5d8aa3230d040009b1f403/1:1/w_160/PTSD_G%20Herbo.jpg,/reviews/albums/g-herbo-ptsd/
6,7,Lil Baby,My Turn,Rap,Sheldon Pearce,March 4 2020,No,https://media.pitchfork.com/photos/5e56ce610e27b00008f7b845/1:1/w_160/My%20Turn_Lil%20Baby.jpg,/reviews/albums/lil-baby-my-turn/
6,8,Princess Nokia,Everything Is Beautiful / Everything Sucks,Rap,Rawiya Kameir,February 29 2020,No,https://media.pitchfork.com/photos/5e568a1219382e0008724875/1:1/w_160/Beautiful_Princess%20Nokia.jpg,/reviews/albums/princess-nokia-everything-is-beautiful-everything-sucks/
6,9,ShooterGang Kony,Red Paint Reverend,Rap,Paul A. Thompson,February 28 2020,No,https://media.pitchfork.com/photos/5e500ac0b68dd500080f7afe/1:1/w_160/Red%20Paint%20Reverend_ShooterGang%20Kony.jpg,/reviews/albums/shootergang-kony-red-paint-reverend/
6,10,Kamaiyah,Got It Made,Rap,Sheldon Pearce,February 27 2020,No,https://media.pitchfork.com/photos/5e4ffe326851210009c687df/1:1/w_160/Got%20It%20Made_Kamaiyah.jpg,/reviews/albums/kamaiyah-got-it-made/
6,11,Medhane,Full Circle,Rap,Dean Van Nguyen,February 27 2020,No,https://media.pitchfork.com/photos/5e50089ef98c800008cf68f9/1:1/w_160/Full%20Circle_Medhane.jpg,/reviews/albums/medhane-full-circle/
6,12,Royce 5'9'',The Allegory,Rap,Jay Balfour,February 27 2020,No,https://media.pitchfork.com/photos/5e53fcbf65d24e0008229f15/1:1/w_160/The%20Allegory_Royce%20da%205'9.jpg,/reviews/albums/royce-59-the-allegory/
7,1,Boldy James,The Price of Tea in China,Rap,Paul A. Thompson,February 24 2020,No,https://media.pitchfork.com/photos/5e4c319b7fe1550008882db5/1:1/w_160/Tea%20in%20China_Boldy%20James.jpg,/reviews/albums/boldy-james-the-price-of-tea-in-china/
7,2,10k.Caash,Planet Swajjur,Rap,Nathan Smith,February 19 2020,No,https://media.pitchfork.com/photos/5e4c2165a7a4ee000800ba3e/1:1/w_160/Planet%20Swajjur_10k.Caash.jpg,/reviews/albums/10kcaash-planet-swajjur/
7,3,Denzel Curry,Unlocked,Rap,Alphonse Pierre,February 13 2020,No,https://media.pitchfork.com/photos/5e418e89159e01000820c1e8/1:1/w_160/Unlocked_Denzel%20Curry_Kenny%20Beats.jpg,/reviews/albums/denzel-curry-kenny-beats-unlocked/
